,Yt.1M,Industry,MR,TRC,BAB,EV,P/B,PSR,ROA,C/A,D/A,PG,AG,cluster
0,0.0195,M1100 ¤ôªd¤u·~,0.0406,0.3296,0.2578,250567026346.0,1.02,9.7551,0.59,0.1465,47.9,0.3898,0.2303,1
1,-0.0853,M1100 ¤ôªd¤u·~,0.1633,0.7223,0.2117,154039638892.0,0.86,9.3358,0.93,0.0949,43.71,0.0968,0.0333,1
2,-0.0108,M1100 ¤ôªd¤u·~,0.0167,0.8106,0.2338,14034320723.0,0.66,20.0736,-0.01,0.0658,39.37,-2.9356,-0.0477,1
3,0.0151,M1100 ¤ôªd¤u·~,0.1471,0.7333,0.4068,21190726169.0,0.93,11.1029,0.93,0.0398,17.59,-0.0908,0.0156,1
4,-0.0117,M1100 ¤ôªd¤u·~,0.1111,0.8406,0.1448,6457149578.0,1.34,5.4127,1.33,0.0263,51.61,-0.0401,0.0188,1
5,-0.0201,M1100 ¤ôªd¤u·~,0.1307,0.3228,0.1582,6380694308.0,0.79,5.8161,0.92,0.2792,11.63,-0.1598,-0.005,1
6,0.0688,M1100 ¤ôªd¤u·~,0.1093,1.3915,0.1383,11508141235.0,1.13,19.9484,0.43,0.0195,24.19,-0.1616,-0.0079,1
7,-0.0208,M1200 ­¹«~¤u·~,0.0242,-0.0448,0.159,9501887617.0,1.29,1.7812,0.89,0.0705,58.41,0.0276,-0.0503,1
8,-0.0139,M1200 ­¹«~¤u·~,-0.0769,-0.3219,0.3395,11834064000.0,2.06,7.5925,2.4,0.1856,32.56,0.9555,0.0208,1
9,-0.0256,M1200 ­¹«~¤u·~,0.0175,-0.1569,0.2528,50055783747.0,2.25,1.9782,1.91,0.0931,51.7,0.1105,0.0802,1
10,0.0593,M1200 ­¹«~¤u·~,-0.0014,-0.1873,-0.1036,408815367.0,2.03,12.2591,-2.67,0.0028,75.19,-0.2766,-0.2086,1
11,0.0282,M1200 ­¹«~¤u·~,0.1129,-0.1309,0.3576,29880454955.0,3.32,4.3229,1.52,0.0122,61.63,-0.126,0.0775,1
12,0.0225,M1200 ­¹«~¤u·~,0.0762,-0.1815,0.296,433376407384.0,3.29,2.7298,1.36,0.1441,69.11,0.1065,0.2324,1
13,-0.0162,M1200 ­¹«~¤u·~,0.0536,0.2428,0.1518,6082514033.0,0.84,5.2473,0.77,0.0409,45.87,0.2018,0.0273,1
14,0.0,M1200 ­¹«~¤u·~,0.0754,-0.2381,0.1953,11049978740.0,0.9,4.0082,1.13,0.152,11.88,3.2223,-0.0744,1
15,-0.0105,M1200 ­¹«~¤u·~,0.0026,-0.1715,0.0828,6149833199.0,1.35,1.7222,0.49,0.0903,52.99,-0.2113,0.0396,1
16,-0.0437,M1200 ­¹«~¤u·~,0.1511,0.8978,0.2165,2761512829.0,1.14,3.6081,1.84,0.1685,18.86,8.5576,0.0692,1
17,0.3391,M1200 ­¹«~¤u·~,0.2455,2.8101,0.2131,15593421496.0,3.61,4.6632,1.12,0.0972,50.98,0.1,-0.0368,1
18,0.042,M1200 ­¹«~¤u·~,0.0704,0.3722,0.1465,35746876765.0,1.93,5.2601,1.96,0.13,29.62,0.8137,0.0194,1
19,-0.0089,M1200 ­¹«~¤u·~,0.0305,-0.3512,0.3099,104923101049.0,2.24,34.3954,1.43,0.0492,21.96,0.0088,0.2449,1
20,0.0689,M1200 ­¹«~¤u·~,0.1237,-0.4049,0.1672,23866698928.0,3.94,8.2144,2.24,0.0693,55.52,0.2468,0.2416,1
21,-0.0069,M1200 ­¹«~¤u·~,0.0284,-0.1191,0.0498,22158413431.0,4.14,3.9383,3.63,0.341,29.63,-0.1868,0.0974,1
22,-0.0044,M1200 ­¹«~¤u·~,-0.0202,-0.3699,0.0582,2999426925.0,2.23,5.1608,1.47,0.0864,40.39,0.0563,0.0382,1
23,0.0023,M1200 ­¹«~¤u·~,0.0842,-0.01,0.2038,16602822003.0,0.92,6.2904,0.78,0.0607,21.65,-0.0805,0.0259,1
24,0.0897,M1200 ­¹«~¤u·~,0.0145,-0.5941,-0.0131,12537628883.0,5.32,726.3559,1.0,0.0076,48.27,0.0146,0.3772,1
25,-0.0123,M1200 ­¹«~¤u·~,0.019,-0.1422,-0.0125,2035495741.0,0.89,3.5486,0.3,0.0386,35.36,1.4676,-0.0863,1
26,-0.1134,M1300 ¶ì½¦¤u·~,-0.0594,-0.0172,0.2545,426306021215.0,1.3,8.8613,0.15,0.0133,36.5,-0.9057,0.0113,1
27,-0.1152,M1300 ¶ì½¦¤u·~,-0.0719,-0.221,0.473,444022115221.0,1.22,7.5733,0.31,0.1227,41.86,0.4334,-0.0281,1
28,-0.0703,M1300 ¶ì½¦¤u·~,-0.1025,0.859,0.3606,18848201922.0,0.82,1.5675,-1.24,0.1363,36.4,-3.0809,-0.039,1
29,-0.0847,M1300 ¶ì½¦¤u·~,-0.1007,0.1694,0.3709,10430379313.0,1.11,3.5911,-0.14,0.0811,44.0,-1.1363,0.0649,1
30,-0.0799,M1300 ¶ì½¦¤u·~,0.2925,0.706,0.1654,12828520673.0,1.29,4.9263,2.67,0.3001,45.01,1.622,0.0642,1
31,-0.0851,M1300 ¶ì½¦¤u·~,-0.1523,0.0718,0.3802,10820389180.0,0.88,6.9307,-1.26,0.0794,10.56,-6.4704,-0.1329,1
32,-0.0284,M1300 ¶ì½¦¤u·~,-0.0368,-0.0977,0.362,6144307149.0,0.94,1.6208,-1.07,0.2169,28.85,-0.4163,-0.0008,1
33,-0.0571,M1300 ¶ì½¦¤u·~,-0.0106,0.1592,0.2044,7390176696.0,1.01,3.3242,-0.3,0.081,24.03,-17.0776,0.0555,1
34,-0.0606,M1300 ¶ì½¦¤u·~,0.0421,0.3356,0.4738,16730311871.0,0.44,5.1397,-0.71,0.0733,41.68,-2.5128,0.0339,1
35,-0.0919,M1300 ¶ì½¦¤u·~,-0.0925,-0.118,0.3163,18469074695.0,0.58,1.0416,-1.16,0.0558,49.6,-25.0855,0.1679,1
36,-0.0288,M1300 ¶ì½¦¤u·~,0.0964,3.8983,0.5276,39173198846.0,0.45,4.782,0.27,0.0336,45.78,1.2418,0.0379,1
37,0.0112,M1300 ¶ì½¦¤u·~,0.0236,-0.0106,0.0518,6821440025.0,0.7,14.9833,0.36,0.2161,8.75,0.2612,-0.0636,1
38,0.0317,M2500 «Ø§÷Àç³y,0.3561,-0.5533,0.468,6687740270.0,1.85,29.3707,0.17,0.0831,47.88,-0.6605,0.1512,2
39,0.0085,M2200 ¨T¨®¤u·~,0.2919,-0.5721,0.3651,66084904740.0,2.76,10.7034,3.38,0.1396,24.64,1.3901,0.0663,3
40,-0.0556,M1300 ¶ì½¦¤u·~,0.1018,3.7773,0.2429,9007283098.0,1.28,8.0987,1.01,0.0638,48.82,-0.1103,-0.0085,1
41,0.0164,M1300 ¶ì½¦¤u·~,0.0,-0.5076,-0.0123,2752365921.0,1.17,3.5975,0.94,0.2136,46.71,-0.1094,-0.0224,1
42,-0.0793,M1300 ¶ì½¦¤u·~,-0.1628,-0.2328,0.0319,1065363506.0,1.14,5.3494,0.02,0.2324,19.26,-0.9635,0.0013,1
43,0.121,M1300 ¶ì½¦¤u·~,-0.2107,-0.6228,0.6055,2334871279.0,0.9,24.2264,0.41,0.1676,3.43,10.5832,-0.0037,1
44,-0.086,M1300 ¶ì½¦¤u·~,-0.0018,0.2205,0.39,322051086420.0,0.99,3.8366,0.37,0.04,35.42,2.9939,-0.0158,1
45,-0.0845,M2200 ¨T¨®¤u·~,0.1603,0.6272,0.4357,5108558166.0,1.31,9.9921,2.53,0.136,27.34,1.0766,0.0086,3
46,-0.0215,M9900 ¨ä¥L,0.0791,-0.6292,0.1357,7877241090.0,4.86,12.6994,3.76,0.1931,40.75,0.1976,0.0593,1
47,0.0289,M1400 ¯¼Â´ÅÖºû,0.1189,-0.0628,0.389,177216569565.0,0.77,2.7094,0.68,0.0403,52.65,0.0852,0.0078,1
48,-0.0179,M1400 ¯¼Â´ÅÖºû,0.1067,-0.2848,0.4351,25991329451.0,0.71,2.3874,0.35,0.0571,77.37,13.3635,0.1145,1
49,-0.0118,M1400 ¯¼Â´ÅÖºû,0.0283,-0.5484,0.2062,2383882200.0,2.1,43.5532,1.08,0.3561,17.87,1.3336,-0.011,1
50,0.1184,M1400 ¯¼Â´ÅÖºû,0.0728,6.745,0.151,1303949921.0,1.1,2.0918,-0.45,0.0281,54.98,0.5879,-0.0887,1
51,0.0982,M1400 ¯¼Â´ÅÖºû,0.124,-0.3572,0.0523,4345000000.0,1.36,31.0089,0.45,0.0368,30.4,3.0369,-0.0147,1
52,-0.0409,M9900 ¨ä¥L,0.1144,-0.0623,0.3708,2343151291.0,0.6,29.6185,0.76,0.0316,21.73,17.4399,0.0825,1
53,-0.0217,M1400 ¯¼Â´ÅÖºû,-0.0338,0.0217,0.3008,2136674752.0,0.82,8.9919,-0.05,0.2078,22.59,-1.2917,-0.2254,1
54,-0.0744,M1400 ¯¼Â´ÅÖºû,0.1053,-0.7021,0.4768,1790280734.0,1.55,463.5631,-0.42,0.1861,72.9,-0.5369,0.058,1
55,0.0094,M1400 ¯¼Â´ÅÖºû,0.0519,3.4954,0.2678,13944688525.0,0.99,16.1842,0.53,0.0575,27.74,-0.0073,0.1396,1
56,0.0994,M1400 ¯¼Â´ÅÖºû,0.1282,2.2549,0.1491,3416959814.0,1.04,85.0244,0.06,0.0872,8.33,-0.9317,-0.033,1
57,-0.0139,M3700 ¹B°Ê¥ð¶¢,-0.1612,-0.8167,0.387,1938600000.0,2.21,6.0187,0.24,0.1024,84.38,-1.0195,0.0186,1
58,-0.0546,M1400 ¯¼Â´ÅÖºû,-0.0063,-0.054,0.2536,38964776856.0,0.75,5.4339,0.36,0.0596,26.34,1.1974,-0.1067,1
59,-0.0612,M9900 ¨ä¥L,-0.018,-0.682,0.2331,6849224900.0,5.27,2584.6132,-0.3,0.0892,12.19,-0.5603,0.2593,1
60,0.1208,M2500 «Ø§÷Àç³y,0.526,2.0493,0.1843,15218038653.0,3.49,757.7195,-0.11,0.0421,79.82,0.074,0.2788,2
61,0.0477,M9900 ¨ä¥L,0.1827,0.657,0.4026,7152405361.0,0.84,40.3207,1.39,0.0567,41.61,0.3098,0.0341,1
62,0.021,M2500 «Ø§÷Àç³y,0.124,2.0623,-0.1014,2558547600.0,0.98,77.1786,1.0,0.0935,42.6,0.0062,0.0572,2
63,0.0351,M1400 ¯¼Â´ÅÖºû,0.1333,10.1413,0.0045,27561131781.0,0.86,6.5227,-0.02,0.117,42.27,0.7774,0.0043,1
64,-0.0112,M1400 ¯¼Â´ÅÖºû,-0.0219,0.1562,0.1839,961374786.0,2.51,4.2443,-1.29,0.077,80.01,0.2428,-0.0975,1
65,0.1098,M2500 «Ø§÷Àç³y,0.5133,2.8641,0.0197,19810240032.0,2.14,10.0144,3.16,0.0434,55.4,2.4527,0.0577,2
66,-0.0392,M9900 ¨ä¥L,0.1169,2.4895,-0.3012,4330976352.0,1.91,20.2813,1.46,0.0174,77.56,1.8474,0.0942,1
67,-0.0211,M1400 ¯¼Â´ÅÖºû,-0.0296,-0.2121,0.2372,9806611331.0,0.84,4.7317,1.37,0.0374,37.11,3.2594,0.0071,1
68,0.0131,M1400 ¯¼Â´ÅÖºû,0.0679,-0.0749,0.3068,2583254426.0,1.07,10.6834,0.02,0.4423,9.48,-0.9615,0.4169,1
69,0.1377,M1400 ¯¼Â´ÅÖºû,0.4324,13.4631,0.6371,6618374279.0,2.56,9.2236,6.67,0.1033,59.42,23.6696,-0.0497,2
70,0.1222,M1400 ¯¼Â´ÅÖºû,0.0981,-0.3797,0.1145,8045029779.0,0.81,0.8671,1.07,0.2312,56.49,3.1818,0.1746,1
71,0.0083,M1400 ¯¼Â´ÅÖºû,-0.0914,-0.5674,0.5623,1720802308.0,0.99,1.945,1.09,0.0286,71.7,1.6457,-0.0149,1
72,-0.0096,M1400 ¯¼Â´ÅÖºû,0.0868,1.0289,0.0876,3986235000.0,0.57,2.3652,0.37,0.2009,14.56,1.1352,-0.0793,1
73,-0.0116,M1400 ¯¼Â´ÅÖºû,0.0208,0.2897,0.1624,2234185213.0,0.79,6.7294,-0.11,0.28,5.85,0.7264,0.014,1
74,0.2854,M2500 «Ø§÷Àç³y,0.593,11.5622,0.8547,2421927973.0,1.1,7020.0811,0.82,0.0032,30.12,166.5918,0.1286,2
75,0.0341,M1400 ¯¼Â´ÅÖºû,-0.0153,0.0324,0.3032,2057321189.0,1.29,5.2735,0.98,0.0265,20.43,7.2238,-0.0086,1
76,0.0469,M1400 ¯¼Â´ÅÖºû,0.3645,-0.4393,0.0759,7363884063.0,1.2,3.2821,0.71,0.0054,41.24,2.8192,0.1195,1
77,0.0049,M2500 «Ø§÷Àç³y,0.2229,-0.547,0.5871,1883443980.0,1.21,6.7152,0.23,0.0059,87.59,0.2698,0.083,2
78,0.0183,M1400 ¯¼Â´ÅÖºû,0.2449,1.9072,0.5628,6590676663.0,1.16,7.4865,0.08,0.0795,55.8,-0.7414,-0.0102,1
79,-0.0652,M1400 ¯¼Â´ÅÖºû,0.183,4.1782,-0.1935,4034575204.0,1.25,10.8528,0.33,0.1474,39.98,1.4295,-0.0578,1
80,-0.0099,M1400 ¯¼Â´ÅÖºû,0.0819,-0.3701,0.1906,5598826481.0,0.98,2.8954,0.28,0.0969,53.37,0.229,-0.0987,1
81,0.0152,M1400 ¯¼Â´ÅÖºû,0.1006,-0.4034,0.341,3347735716.0,1.37,41.8462,0.55,0.0695,18.36,-0.5439,0.0347,1
82,0.0174,M1400 ¯¼Â´ÅÖºû,0.1077,0.5751,0.2241,5766673474.0,1.0,2.2724,0.75,0.0687,60.94,0.1846,-0.1505,1
83,-0.0568,M1400 ¯¼Â´ÅÖºû,0.1372,-0.0583,0.0207,1578663927.0,0.96,14.1802,1.93,0.0886,15.9,14.481,0.0241,1
84,-0.0268,M1400 ¯¼Â´ÅÖºû,-0.0262,-0.6899,0.5055,1445045160.0,1.05,2.4345,-0.34,0.0477,57.69,0.7598,-0.0436,1
85,-0.0581,M1400 ¯¼Â´ÅÖºû,0.0773,2.6456,-0.0064,2768452304.0,0.9,2.2359,0.65,0.255,64.71,1.2419,0.0284,1
86,0.0733,M1400 ¯¼Â´ÅÖºû,-0.0724,0.2413,0.519,2157450532.0,1.77,8.6443,1.75,0.0715,53.76,13.5145,-0.0705,1
87,-0.0074,M1400 ¯¼Â´ÅÖºû,0.0076,-0.4811,-0.0198,1663107897.0,1.86,8.7417,2.7,0.2223,17.35,-0.1192,-0.0089,1
88,0.0738,M2328 ¹q¤l¹s²Õ¥ó,-0.0599,-0.7105,0.6497,2241176586.0,1.67,39.6381,0.4,0.698,7.09,3.0977,-0.0469,0
89,-0.067,M2500 «Ø§÷Àç³y,0.2358,-0.3189,0.2937,3803842795.0,2.08,6.6348,1.77,0.2325,50.07,4.3704,0.0757,2
90,0.3095,M1400 ¯¼Â´ÅÖºû,0.3972,2.2926,0.6588,5716342406.0,1.12,2.4704,3.84,0.1202,31.65,1.7347,0.1245,1
91,-0.0035,M1400 ¯¼Â´ÅÖºû,0.2069,1.1864,0.2116,1818557566.0,0.76,2.4721,2.31,0.1022,42.47,5.0303,-0.0493,1
92,0.0434,M1400 ¯¼Â´ÅÖºû,0.1174,1.0468,0.3216,3775511079.0,2.43,8.9588,6.72,0.6083,23.74,0.7555,0.3632,1
93,0.0786,M1400 ¯¼Â´ÅÖºû,-0.0647,-0.0805,0.3957,134439884390.0,6.43,17.6137,4.37,0.127,30.74,0.724,0.0138,1
94,0.0172,M1400 ¯¼Â´ÅÖºû,0.0688,-0.0966,0.2244,86056585504.0,6.82,9.9972,4.71,0.1519,48.33,0.1804,0.0154,1
95,0.0365,M1500 ¹q¾÷¾÷±ñ,1.072,-0.4593,1.0917,133543102199.0,3.84,13.4649,2.14,0.0488,32.81,0.4878,0.1797,3
96,0.0566,M1500 ¹q¾÷¾÷±ñ,0.1865,0.0698,0.8612,111906544302.0,1.67,8.1505,1.07,0.1987,36.11,-0.291,-0.07,3
97,0.003,M1500 ¹q¾÷¾÷±ñ,-0.0091,-0.1571,0.2334,4896332566.0,1.81,19.6492,0.44,0.1521,10.99,-0.4074,-0.0189,3
98,-0.1,M2200 ¨T¨®¤u·~,-0.1561,0.134,0.4113,981834980.0,2.98,3.4037,-0.38,0.0402,84.12,-39.3533,-0.0497,3
99,0.1202,M1500 ¹q¾÷¾÷±ñ,0.3942,-0.3131,1.0347,82904389559.0,4.87,13.5053,2.19,0.0623,59.84,0.2804,0.0928,3
100,0.1381,M1500 ¹q¾÷¾÷±ñ,0.4477,-0.3656,1.0285,30831321899.0,5.34,14.9437,2.11,0.0776,51.56,0.5819,0.0668,3
101,-0.0083,M1500 ¹q¾÷¾÷±ñ,0.0568,0.3632,0.8889,8219098141.0,2.35,3.7582,2.7,0.3972,58.05,4.1966,0.2925,3
102,0.201,M9900 ¨ä¥L,0.1371,6.4532,0.5206,772238180.0,1.36,2.6572,3.76,0.1987,1.28,0.7235,-0.0077,1
103,-0.003,M1500 ¹q¾÷¾÷±ñ,0.0719,-0.6754,0.4525,3653005229.0,0.98,9.8069,0.11,0.2659,15.57,-4.646,-0.1129,3
104,0.2137,M1500 ¹q¾÷¾÷±ñ,0.5222,0.3682,1.0899,195840867737.0,35.13,64.4743,3.69,0.1951,69.82,1.907,0.3691,3
105,-0.0306,M2200 ¨T¨®¤u·~,-0.0632,-0.5977,0.3571,2994398253.0,1.69,2.8143,1.0,0.1227,44.04,0.6737,-0.0324,3
106,0.0689,M2200 ¨T¨®¤u·~,0.5071,-0.1849,0.4812,21302530857.0,1.71,4.1763,2.76,0.0611,61.28,2.1174,0.069,3
107,-0.0373,M2200 ¨T¨®¤u·~,0.1536,-0.2379,0.7574,5934643252.0,2.24,8.2253,3.26,0.1128,50.05,2.8807,0.0779,3
108,0.0788,M2200 ¨T¨®¤u·~,-0.0381,-0.1374,0.4933,4967845917.0,1.11,16.1011,0.84,0.3124,15.55,-0.7485,0.0056,3
109,-0.0753,M1500 ¹q¾÷¾÷±ñ,0.1075,-0.7505,0.2089,2070000000.0,1.45,12.0663,0.04,0.117,47.11,-1.0755,-0.0571,3
110,0.0162,M1500 ¹q¾÷¾÷±ñ,0.075,0.7015,0.2,5685830500.0,1.18,7.0943,2.84,0.0534,10.83,0.7658,0.0036,3
111,0.0442,M1500 ¹q¾÷¾÷±ñ,-0.1633,-0.702,0.583,2335998445.0,1.04,3.0301,-0.77,0.1362,56.51,-4.9451,0.0478,3
112,-0.0274,M1500 ¹q¾÷¾÷±ñ,0.1143,-0.0816,1.0921,5166852805.0,2.92,35.3526,-0.34,0.086,44.33,-1.364,0.0211,3
113,-0.0169,M1500 ¹q¾÷¾÷±ñ,0.0222,0.3167,0.1851,2970232121.0,0.94,8.1932,0.35,0.1054,44.24,0.1393,-0.0686,3
114,0.0511,M1500 ¹q¾÷¾÷±ñ,0.0341,-0.1012,0.1596,2451247600.0,0.66,6.6048,0.41,0.1723,14.18,1.5035,-0.0272,3
115,-0.0098,M1500 ¹q¾÷¾÷±ñ,0.295,4.5283,0.6599,20689060094.0,1.06,4.256,1.21,0.1311,68.04,22.0326,0.0321,3
116,-0.0502,M2200 ¨T¨®¤u·~,-0.0816,0.5254,0.3292,4715497205.0,2.11,6.4595,-1.22,0.0962,68.8,-0.496,0.0466,3
117,-0.0099,M1500 ¹q¾÷¾÷±ñ,0.2034,0.7447,0.794,8375056785.0,2.52,3.2161,1.76,0.1861,45.25,0.0373,-0.0001,3
118,0.0206,M2200 ¨T¨®¤u·~,0.0514,-0.2498,0.8056,14601435844.0,1.6,9.8163,0.55,0.0421,60.61,0.0745,0.0041,3
119,0.0174,M1500 ¹q¾÷¾÷±ñ,0.0875,0.0382,0.0901,11172348820.0,2.56,6.4147,3.64,0.3256,23.55,0.7145,-0.0013,3
120,0.1302,M1500 ¹q¾÷¾÷±ñ,-0.3261,-0.1556,-0.0984,834225020.0,4.97,45.1103,-6.23,0.208,26.83,-0.5304,-0.3451,3
121,-0.0063,M1500 ¹q¾÷¾÷±ñ,-0.0188,-0.3923,0.6158,1498188882.0,0.99,3.9005,1.75,0.2315,33.74,13.0518,-0.0644,3
122,0.0074,M1500 ¹q¾÷¾÷±ñ,0.1538,0.9174,0.1663,1669718463.0,1.08,13.17,3.21,0.0373,17.16,3.5528,0.1418,3
123,-0.0355,M1500 ¹q¾÷¾÷±ñ,0.019,0.3147,0.3213,2489709640.0,1.28,3.4509,1.75,0.0215,47.07,0.921,0.0615,3
124,-0.0098,M1500 ¹q¾÷¾÷±ñ,-0.0146,-0.4488,0.1718,6468514203.0,1.2,3.5846,1.66,0.2384,28.59,6.3475,-0.0154,3
125,0.2469,M1500 ¹q¾÷¾÷±ñ,0.0147,-0.2801,1.2647,34898125842.0,6.48,21.8773,2.72,0.1599,41.91,0.436,0.0768,3
126,-0.0621,M2200 ¨T¨®¤u·~,0.0277,-0.4921,0.531,3110399819.0,1.77,10.1777,3.06,0.3446,32.41,1.5915,-0.0354,3
127,0.2213,M2328 ¹q¤l¹s²Õ¥ó,0.1995,-0.0867,0.8951,13305431687.0,1.78,6.1986,2.15,0.2787,37.49,5.5216,0.0921,0
128,-0.0651,M1500 ¹q¾÷¾÷±ñ,0.0905,0.3426,0.6032,7646064804.0,1.5,8.0626,0.48,0.1167,47.71,-0.7084,-0.0622,3
129,-0.1071,M2200 ¨T¨®¤u·~,1.9766,6.7288,0.4685,5177056208.0,1.53,10.4405,0.28,0.1533,59.49,-0.5416,0.068,3
130,0.0212,M1500 ¹q¾÷¾÷±ñ,0.0543,-0.319,0.6234,5844612993.0,2.8,23.0068,1.04,0.2028,41.9,-0.0362,-0.0339,3
131,-0.0802,M3700 ¹B°Ê¥ð¶¢,0.0297,-0.0362,0.3762,5572358085.0,1.09,3.1529,0.41,0.0941,56.11,1.2907,-0.0406,1
132,0.1432,M1600 ¹q¾¹¹qÆl,0.19,0.6259,0.6953,7966438267.0,1.28,7.7389,1.09,0.0094,35.24,0.6082,0.0771,1
133,-0.0467,M1600 ¹q¾¹¹qÆl,0.0962,0.9995,0.2528,11449160000.0,1.43,4.6101,1.54,0.0466,48.32,0.2211,0.1424,1
134,0.0319,M1600 ¹q¾¹¹qÆl,0.0142,1.2818,0.7168,140013434017.0,1.07,3.4537,0.48,0.0463,42.98,-0.5855,0.0407,1
135,0.0554,M1600 ¹q¾¹¹qÆl,0.8305,1.1096,1.0202,23328271014.0,2.37,8.8994,2.24,0.011,34.24,-0.1842,0.0005,1
136,0.0537,M1600 ¹q¾¹¹qÆl,0.478,1.1029,0.5898,37575441596.0,2.15,5.5733,0.99,0.1221,64.55,-0.8633,0.1316,1
137,0.0059,M1600 ¹q¾¹¹qÆl,0.0836,1.232,0.6272,5220186080.0,1.24,18.3849,1.09,0.1742,19.5,0.4382,0.0161,1
138,0.0128,M1600 ¹q¾¹¹qÆl,0.4789,2.4222,1.062,11575831755.0,1.24,7.9413,2.14,0.2396,10.11,0.1633,0.0585,1
139,-0.0631,M1600 ¹q¾¹¹qÆl,0.2346,8.0012,-0.0579,12372381195.0,2.02,9.8459,0.26,0.0095,24.4,-0.6478,0.008,1
140,0.0581,M1600 ¹q¾¹¹qÆl,0.3759,1.3261,1.086,10720513004.0,2.96,8.2329,3.52,0.023,35.38,0.6311,0.2362,1
141,0.0119,M1600 ¹q¾¹¹qÆl,0.786,0.1203,0.3358,4852334421.0,2.1,4.799,0.95,0.115,45.3,0.5952,0.0736,1
142,0.1337,M1600 ¹q¾¹¹qÆl,0.4573,5.13,-0.7589,3999750201.0,1.43,5.8174,0.64,0.2262,37.74,-0.196,-0.0205,1
143,0.1558,M1600 ¹q¾¹¹qÆl,0.6993,0.8822,-0.2572,9842309053.0,1.32,9.9169,1.86,0.0245,19.74,1.2137,0.2939,1
144,-0.0807,M1200 ­¹«~¤u·~,0.2703,0.3054,0.2955,18573525912.0,1.73,3.3181,1.52,0.3191,58.86,1.7101,0.0092,1
145,0.0189,M1722 ¥Í§ÞÂåÀø,0.0359,-0.3045,0.3425,22061802686.0,2.29,9.3979,2.5,0.3104,22.78,-0.0783,0.0341,0
146,0.014,M1721 ¤Æ¾Ç¤u·~,0.1,1.725,0.2311,8252786220.0,1.21,5.7343,1.84,0.133,53.74,2.4786,0.0524,1
147,0.0224,M1721 ¤Æ¾Ç¤u·~,-0.0244,-0.2878,0.2383,9301817304.0,1.13,3.6534,1.56,0.036,34.76,0.9613,0.0334,1
148,-0.0339,M1721 ¤Æ¾Ç¤u·~,-0.0665,-0.2759,0.5147,15363316171.0,1.32,2.9803,0.05,0.0499,54.83,-0.963,-0.0715,1
149,-0.0403,M1721 ¤Æ¾Ç¤u·~,0.0447,-0.7194,0.4538,10786610711.0,1.3,5.6784,0.38,0.1173,33.35,-0.1806,-0.0131,1
150,0.0143,M1721 ¤Æ¾Ç¤u·~,0.156,-0.4837,0.1429,16570014903.0,2.12,3.3076,2.25,0.1461,51.33,0.0582,-0.0085,1
151,0.0788,M1721 ¤Æ¾Ç¤u·~,0.1574,0.8094,0.4206,7209015432.0,2.46,61.8295,2.03,0.0462,5.04,-0.3127,0.0799,1
