,Yt.1M,Industry,MR,TRC,BAB,EV,P/B,PSR,ROA,C/A,D/A,PG,AG,cluster
152,0.0132,M1721 ¤Æ¾Ç¤u·~,0.1086,0.6443,0.1912,9640617687.0,0.7,2.0921,1.57,0.3137,27.71,1.0279,0.0085,1
153,-0.0161,M1721 ¤Æ¾Ç¤u·~,0.1007,-0.5053,0.5312,36585143247.0,1.45,3.651,0.92,0.0976,56.74,2.2602,0.0369,1
154,-0.0296,M1721 ¤Æ¾Ç¤u·~,0.0496,0.0408,0.2944,13554682190.0,0.58,1.2972,0.19,0.0197,91.09,1.0237,0.0944,1
155,0.0395,M1722 ¥Í§ÞÂåÀø,0.0149,0.0038,0.3758,11710365713.0,2.24,7.2584,3.08,0.1634,30.45,0.1978,0.052,0
156,-0.0686,M1721 ¤Æ¾Ç¤u·~,0.0484,-0.3683,0.0103,2800993994.0,1.35,5.1843,-2.04,0.1685,44.77,-0.4748,-0.0504,1
157,0.0047,M1721 ¤Æ¾Ç¤u·~,-0.0507,0.6936,0.2141,59849678000.0,1.11,18.146,0.4,0.0603,32.59,-0.362,0.0143,1
158,-0.0396,M1721 ¤Æ¾Ç¤u·~,0.0,-0.5026,0.1489,25759998156.0,3.41,14.8967,2.53,0.0624,22.74,-0.1489,-0.0247,1
159,0.085,M1721 ¤Æ¾Ç¤u·~,1.1026,0.1959,0.8904,7858309806.0,1.31,4.093,0.72,0.1047,37.31,1.3628,0.0371,1
160,-0.0037,M1721 ¤Æ¾Ç¤u·~,0.0814,2.2855,0.1348,12570001200.0,1.27,5.5003,2.04,0.1646,14.46,0.1379,0.0508,1
161,-0.0051,M1721 ¤Æ¾Ç¤u·~,0.0679,-0.7143,0.3729,3614387052.0,1.88,7.921,0.02,0.0587,31.77,-1.0205,0.0557,1
162,-0.0018,M1721 ¤Æ¾Ç¤u·~,-0.0106,-0.0525,-0.0031,3360215225.0,1.89,5.0489,2.34,0.3446,21.58,-0.2964,0.0153,1
163,0.0098,M1722 ¥Í§ÞÂåÀø,0.0658,-0.1086,0.7292,3189739900.0,1.67,7.8237,1.97,0.0548,30.55,0.098,0.138,0
164,0.0017,M1721 ¤Æ¾Ç¤u·~,-0.0696,-0.049,0.2159,1220263764.0,2.46,8.1662,0.7,0.2021,27.4,3.1016,0.0981,1
165,-0.031,M1722 ¥Í§ÞÂåÀø,0.0384,-0.0063,0.053,3404233574.0,1.96,7.5539,1.29,0.1705,26.42,-0.1845,-0.0359,0
166,0.0163,M1722 ¥Í§ÞÂåÀø,0.1235,-0.3728,0.2705,5939446720.0,1.9,7.6351,1.78,0.1611,44.46,0.3777,0.0625,0
167,0.0346,M1721 ¤Æ¾Ç¤u·~,0.0029,-0.3296,0.1586,1687697689.0,1.1,2.711,1.05,0.1196,53.89,0.4767,-0.0165,1
168,-0.0231,M3700 ¹B°Ê¥ð¶¢,0.4228,2.7966,0.8679,27433092966.0,2.29,3.4379,-0.21,0.0688,73.42,0.7868,-0.0055,1
169,-0.0174,M1200 ­¹«~¤u·~,0.0059,1.3657,0.1941,6620000000.0,1.03,8.1397,1.05,0.1821,19.93,-0.0346,0.0024,1
170,0.1494,M1722 ¥Í§ÞÂåÀø,-0.0504,-0.3595,0.4217,4487362160.0,2.13,8.4912,1.49,0.0633,38.11,-0.418,-0.0073,0
171,0.0144,M1722 ¥Í§ÞÂåÀø,-0.0798,-0.1066,0.4822,8080276080.0,5.15,16.1772,1.46,0.1499,42.34,0.933,0.0416,0
172,0.0495,M1722 ¥Í§ÞÂåÀø,-0.0752,-0.1994,0.4115,3520719860.0,1.12,13.9871,0.87,0.0236,35.32,-0.7737,0.0424,0
173,-0.0734,M1721 ¤Æ¾Ç¤u·~,0.2274,-0.6137,0.8859,41647325000.0,5.08,15.722,2.84,0.0224,36.77,0.0905,0.0555,1
174,-0.0213,M1721 ¤Æ¾Ç¤u·~,0.1121,-0.4886,0.4687,1072151746.0,1.14,3.8183,1.01,0.2808,39.58,1.5152,-0.0574,1
175,0.0161,M1722 ¥Í§ÞÂåÀø,-0.0809,-0.1275,0.4965,3790868141.0,3.01,29.8357,1.91,0.3243,9.16,-0.3607,-0.0017,0
176,0.2627,M1722 ¥Í§ÞÂåÀø,0.2921,1.3318,0.1758,6937663131.0,4.33,35.5135,2.41,0.2465,31.82,0.5774,0.0598,0
177,0.0323,M1722 ¥Í§ÞÂåÀø,0.1008,0.1114,0.2258,21793484624.0,2.08,24.6749,1.2,0.3529,12.11,2.333,0.0003,0
178,0.0,M1722 ¥Í§ÞÂåÀø,0.0293,0.0833,0.2802,73357780697.0,4.7,17.4739,3.44,0.091,49.97,-0.132,0.1187,0
179,0.0983,M1800 ¬Á¼þ³³²¡,-0.0525,-0.0438,0.5246,49873242720.0,1.02,5.0553,-0.19,0.0685,43.65,0.6944,0.0114,1
180,-0.0247,M2500 «Ø§÷Àç³y,0.2368,0.8599,0.5152,2546690030.0,2.34,1598.6755,1.49,0.0868,49.93,1.6628,0.108,2
181,-0.0093,M1800 ¬Á¼þ³³²¡,0.0047,-0.6744,0.5583,4157801216.0,0.74,4.8655,0.2,0.2328,32.33,1.3148,-0.0024,1
182,0.109,M2500 «Ø§÷Àç³y,0.0747,0.187,0.7107,46164879088.0,4.48,34.2439,0.8,0.1133,73.42,-0.6049,-0.0615,2
183,0.0726,M1800 ¬Á¼þ³³²¡,0.2861,-0.6147,0.7143,3835199353.0,1.53,6.488,0.39,0.1312,26.3,2.417,-0.0196,1
184,-0.0079,M1800 ¬Á¼þ³³²¡,0.1128,3.4708,-0.2337,5605224867.0,0.78,4.9487,-0.1,0.1014,35.47,-0.4,0.0593,1
185,0.0089,M1800 ¬Á¼þ³³²¡,0.0722,3.2941,0.2513,2727444060.0,1.29,4.7381,2.51,0.1366,21.16,1.0339,0.0397,1
186,-0.0172,M1900 ³y¯È¤u·~,0.1989,6.4428,0.6989,16460475030.0,3.76,395.6179,-0.06,0.026,53.76,0.6334,-0.0554,1
187,-0.0069,M1900 ³y¯È¤u·~,0.0017,0.1906,0.1529,31424348279.0,1.12,3.1115,0.71,0.0842,58.02,-0.1931,0.0307,1
188,-0.0352,M1900 ³y¯È¤u·~,0.0112,0.3726,0.5415,24924078142.0,1.63,4.718,0.32,0.0343,50.2,1.2747,0.0219,1
189,-0.0509,M1900 ³y¯È¤u·~,0.082,0.3308,0.1806,2468140300.0,0.54,2.6375,0.76,0.0114,35.75,2.05,-0.0711,1
190,-0.0245,M1900 ³y¯È¤u·~,0.0321,0.141,0.1879,49189833837.0,0.81,2.7446,0.46,0.0568,48.09,92.0093,0.0681,1
191,-0.0852,M1900 ³y¯È¤u·~,0.0857,0.5364,0.3738,20180823050.0,0.88,1.8682,0.47,0.03,69.25,1.0101,-0.0425,1
192,-0.07,M2000 ¿ûÅK¤u·~,0.0061,0.3997,0.402,384482637781.0,1.22,4.101,0.27,0.0276,49.9,1.8836,0.0217,1
193,-0.02,M2000 ¿ûÅK¤u·~,0.0307,-0.1419,0.2409,48514967940.0,1.73,3.2659,2.09,0.039,48.3,-0.0325,0.0267,1
194,0.0043,M2000 ¿ûÅK¤u·~,0.0802,1.7623,0.577,6075960969.0,0.96,4.2698,-1.51,0.0333,55.62,-0.5509,0.0608,1
195,-0.0061,M2000 ¿ûÅK¤u·~,0.1382,6.5544,0.0586,4532398425.0,1.28,12.8374,0.23,0.0422,54.38,-1.006,0.0164,1
196,0.0315,M2000 ¿ûÅK¤u·~,0.5433,3.0237,0.8314,17315807245.0,1.74,26.5902,0.07,0.0057,20.89,-0.7946,0.456,1
197,-0.0453,M2000 ¿ûÅK¤u·~,0.2139,1.8338,0.3915,12934066732.0,1.08,2.474,1.06,0.0272,45.24,-0.0279,0.0799,1
198,-0.026,M2000 ¿ûÅK¤u·~,0.0428,0.768,0.2758,7090368621.0,1.69,3.5131,0.92,0.1453,59.8,0.0449,-0.0263,1
199,-0.0236,M2000 ¿ûÅK¤u·~,0.1257,0.6234,0.8542,11439360000.0,2.34,2.4629,0.9,0.0034,64.51,0.2212,0.1671,1
200,-0.046,M2000 ¿ûÅK¤u·~,-0.0257,1.5742,0.6418,32505607109.0,2.0,3.5532,0.3,0.0497,52.54,-0.8482,-0.0232,1
201,0.0326,M2000 ¿ûÅK¤u·~,0.0733,0.5974,0.1115,39064928271.0,2.02,4.5975,2.25,0.027,24.54,0.0174,0.0269,1
202,-0.0325,M2000 ¿ûÅK¤u·~,-0.0032,1.0693,0.5259,6859526507.0,1.07,9.4367,3.09,0.0286,39.91,6.9196,0.1003,1
203,-0.0974,M2000 ¿ûÅK¤u·~,0.2656,-0.0333,0.473,8812273888.0,2.08,6.1996,5.0,0.0796,50.04,1.2901,0.0908,1
204,-0.0927,M2000 ¿ûÅK¤u·~,0.1086,0.2323,0.5623,4057515090.0,1.06,2.0241,0.73,0.1315,25.83,-0.2825,-0.0065,1
205,-0.0348,M2000 ¿ûÅK¤u·~,0.0162,0.2861,0.5766,29759725794.0,0.98,1.523,0.35,0.0851,66.84,1.574,-0.0179,1
206,0.0225,M2000 ¿ûÅK¤u·~,0.0584,-0.6925,0.4341,2120625000.0,1.91,8.6891,0.2,0.0652,38.43,1.058,-0.1588,1
207,0.1762,M2000 ¿ûÅK¤u·~,0.2349,-0.462,1.3434,3161535277.0,1.79,10.7208,-4.2,0.0793,5.27,-3.8107,0.1671,1
208,-0.0121,M2000 ¿ûÅK¤u·~,0.0235,0.2144,0.1223,87356119856.0,1.33,3.7677,1.2,0.0719,42.93,-0.4532,-0.0603,1
209,-0.0842,M2000 ¿ûÅK¤u·~,0.1538,2.7827,0.5668,9045523425.0,1.84,3.1473,1.79,0.0101,47.45,-0.1674,0.1417,1
210,-0.023,M2000 ¿ûÅK¤u·~,0.0107,0.2473,0.4282,8682169878.0,0.95,2.6288,1.43,0.3774,11.95,-0.0218,0.0275,1
211,-0.0349,M2000 ¿ûÅK¤u·~,0.0,0.2732,0.2185,5057575688.0,1.03,1.7605,-0.02,0.0982,59.17,-1.2144,-0.0153,1
212,0.0355,M2000 ¿ûÅK¤u·~,0.0478,-0.4185,0.5287,18795539212.0,1.66,5.4226,2.87,0.0439,57.06,0.6767,0.1591,1
213,-0.031,M2000 ¿ûÅK¤u·~,0.0476,3.6985,0.4357,2297179192.0,1.22,3.4446,0.88,0.1157,13.11,3.1753,-0.0402,1
214,-0.034,M2000 ¿ûÅK¤u·~,-0.0123,1.264,0.7683,1299182030.0,1.25,9.5717,0.32,0.0717,17.15,1.5542,0.003,1
215,-0.0175,M2000 ¿ûÅK¤u·~,-0.0154,-0.1063,0.2407,12522092142.0,1.24,4.0407,0.43,0.0317,50.95,-0.4819,-0.0756,1
216,-0.0359,M2000 ¿ûÅK¤u·~,0.051,3.1181,0.4984,3920751609.0,0.92,1.7198,0.63,0.043,58.35,-0.0876,-0.0329,1
217,-0.1111,M1500 ¹q¾÷¾÷±ñ,0.0571,-0.3742,0.759,80934821854.0,2.81,14.6981,0.76,0.1459,33.02,-0.1118,-0.0217,3
218,-0.0913,M2328 ¹q¤l¹s²Õ¥ó,0.1532,-0.3123,1.6045,120606506748.0,6.67,62.2387,6.52,0.6364,19.55,2.0301,0.137,0
219,-0.1132,M3800 ©~®a¥Í¬¡,0.1829,0.3176,0.6271,6031443635.0,0.78,3.0333,1.24,0.151,41.54,4.6052,0.0602,1
220,-0.0236,M2000 ¿ûÅK¤u·~,0.0566,0.4444,0.3403,2710341726.0,0.71,1.0966,-0.55,0.0298,58.91,-1.1913,-0.0472,1
221,0.0287,M2100 ¾ó½¦¤u·~,0.327,8.4069,0.1214,45820052939.0,3.18,23.2169,0.09,0.0365,75.39,1.0948,0.1326,1
222,0.0024,M2100 ¾ó½¦¤u·~,0.0946,2.6945,0.3688,9584916442.0,1.19,174.8147,-0.51,0.0771,48.21,0.8217,0.4154,1
223,-0.0403,M2100 ¾ó½¦¤u·~,0.0956,0.612,0.3504,19871784044.0,0.96,2.2722,0.97,0.1497,47.73,0.0203,0.1058,1
224,-0.0522,M2100 ¾ó½¦¤u·~,-0.0136,-0.2295,0.3163,17823678613.0,0.5,4.0295,-0.16,0.1369,39.49,-12.492,0.0284,1
225,-0.0339,M2100 ¾ó½¦¤u·~,0.1574,0.0709,0.361,163699588107.0,1.97,6.9151,1.7,0.1769,41.68,0.402,-0.0207,1
226,-0.03,M2100 ¾ó½¦¤u·~,0.1686,0.6137,0.3594,32436753899.0,1.54,3.926,1.21,0.1723,56.13,2.148,-0.0032,1
227,-0.0056,M2100 ¾ó½¦¤u·~,0.1245,1.678,0.263,7700494794.0,0.57,28.3779,0.76,0.0474,14.28,1.1023,0.0815,1
228,0.0642,M2100 ¾ó½¦¤u·~,-0.05,0.187,0.3312,15842865862.0,1.16,7.2577,0.98,0.5003,12.55,-0.4161,0.0142,1
229,0.067,M2100 ¾ó½¦¤u·~,0.2936,0.0416,0.2692,4807850010.0,1.44,4.2924,2.58,0.3386,38.12,0.9557,-0.023,1
230,-0.0156,M2100 ¾ó½¦¤u·~,0.0142,-0.1971,0.097,8006449260.0,2.72,23.8028,2.55,0.2153,17.71,0.0335,0.0523,1
231,-0.0539,M2200 ¨T¨®¤u·~,0.0393,0.6201,0.5159,74453362048.0,1.18,3.6065,0.45,0.0331,76.38,-0.2783,0.056,3
232,-0.0766,M2200 ¨T¨®¤u·~,0.1638,0.0541,0.7661,71262508681.0,2.11,5.8147,2.56,0.1048,27.07,-0.1543,0.1028,3
233,-0.0279,M2200 ¨T¨®¤u·~,0.1,0.7275,0.2658,59894499721.0,2.49,3.5615,2.45,0.1359,56.78,0.0244,0.0805,3
234,0.0063,M2200 ¨T¨®¤u·~,-0.0174,0.0653,0.3281,336228957805.0,5.45,4.8502,1.68,0.0429,79.85,0.1623,0.1632,3
235,-0.0789,M2600 ¯è¹B·~,0.0358,-0.2813,0.3907,23961341641.0,2.11,6.3997,-0.77,0.1381,69.28,0.7997,-0.2017,3
236,-0.0068,M2000 ¿ûÅK¤u·~,0.3886,-0.123,0.724,58277061939.0,2.05,20.8401,1.57,0.0725,23.08,-0.009,0.1696,1
237,-0.0217,M2200 ¨T¨®¤u·~,-0.1976,-0.5473,0.5937,39640950000.0,2.07,5.2186,2.57,0.2958,21.58,0.5534,-0.0387,3
238,-0.0303,M2200 ¨T¨®¤u·~,0.3128,1.0853,0.4957,8624505651.0,1.61,6.9386,4.27,0.2934,25.67,1.7967,0.0844,3
239,0.1991,M2200 ¨T¨®¤u·~,-0.1692,0.0849,0.1551,14865173000.0,3.87,13.9882,1.37,0.1216,48.86,-0.2266,0.0731,3
240,-0.0147,M2200 ¨T¨®¤u·~,-0.0289,-0.5786,0.5895,7781932269.0,2.07,8.9922,2.83,0.2391,30.39,0.5374,0.1158,3
241,-0.0646,M2200 ¨T¨®¤u·~,0.5311,1.6023,0.5935,5156893686.0,2.66,27.868,-1.32,0.0572,37.39,0.5113,-0.0371,3
242,-0.0138,M2200 ¨T¨®¤u·~,0.1162,-0.1486,0.319,24887426233.0,2.17,1.8478,1.91,0.3027,48.0,0.0386,0.0311,3
243,0.0287,M2325 ¹q¸£¤Î¶gÃä,-0.0164,-0.3697,0.7436,235017698370.0,2.85,8.1674,1.42,0.4579,54.57,0.0148,0.0056,3
244,0.0225,M2324 ¥b¾ÉÅé,-0.0303,-0.6739,0.4019,2878403525.0,1.66,19.7236,0.78,0.2448,25.93,0.7232,0.1063,1
245,0.0806,M2324 ¥b¾ÉÅé,0.0528,-0.3215,0.7363,616110581751.0,1.73,11.2774,1.91,0.2106,33.3,-0.3539,0.0317,0
246,0.038,M2325 ¹q¸£¤Î¶gÃä,-0.0675,-0.7649,0.3346,4545104277.0,2.25,26.1741,1.18,0.1659,21.83,4.4722,0.0073,3
247,0.0978,M2328 ¹q¤l¹s²Õ¥ó,0.1213,-0.3098,1.1878,813479917464.0,4.2,8.9102,1.56,0.2059,45.62,-0.1656,0.1067,0
248,0.1254,M2331 ¨ä¥L¹q¤l·~,0.0596,-0.0831,0.6687,23680804866.0,1.06,0.7195,0.83,0.1399,68.83,0.7644,-0.0678,1
249,0.0167,M2328 ¹q¤l¹s²Õ¥ó,0.0014,-0.5262,0.8361,83001961280.0,2.43,5.3354,1.36,0.1498,51.19,1.7754,0.0856,0
250,0.1161,M2327 ³q«Hºô¸ô·~,-0.0866,-0.3543,0.6968,7573451016.0,4.96,17.5704,-3.09,0.1946,66.49,-1.8689,-0.1775,1
251,0.1012,M2328 ¹q¤l¹s²Õ¥ó,0.2757,0.2406,1.0914,8086506281.0,0.86,9.9931,1.33,0.1479,36.96,6.0243,0.0947,0
252,0.1314,M2331 ¨ä¥L¹q¤l·~,0.6881,-0.1355,1.2759,2309321802747.0,1.4,1.7466,0.87,0.3083,55.19,0.7161,0.0312,1
253,0.0,M2327 ³q«Hºô¸ô·~,0.0461,0.8986,0.2416,481323671.0,1.16,2.94,-0.3,0.1152,66.48,0.5503,-0.2176,1
254,-0.004,M2326 ¥ú¹q·~,0.1745,0.2748,0.4785,12847447376.0,0.72,6.9834,-0.99,0.0968,26.23,-1.3962,0.0692,1
255,-0.0364,M2325 ¹q¸£¤Î¶gÃä,0.054,-0.4168,0.5873,154902830290.0,1.33,0.7762,0.71,0.1907,70.01,0.3571,-0.0108,3
256,0.0943,M2328 ¹q¤l¹s²Õ¥ó,0.1434,0.1854,0.5055,266389552718.0,1.83,9.3455,1.53,0.1377,59.6,0.1155,0.1975,0
257,0.1429,M2328 ¹q¤l¹s²Õ¥ó,0.0809,-0.3394,0.5575,17364807786.0,1.42,3.7338,0.87,0.2748,36.76,-0.4281,-0.0198,0
258,-0.0194,M2324 ¥b¾ÉÅé,-0.1605,-0.6494,1.0485,48126547899.0,3.29,11.5245,2.67,0.2223,42.51,1.7785,0.1895,0
259,0.0863,M2324 ¥b¾ÉÅé,0.2094,-0.1564,1.662,21394800557809.0,5.56,36.1006,4.02,0.2934,36.67,0.0894,0.1471,0
260,0.0132,M2325 ¹q¸£¤Î¶gÃä,0.1334,0.2515,1.0114,18086722986.0,1.4,5.2286,0.2,0.1553,48.4,6.8833,0.1018,3
261,0.0295,M2327 ³q«Hºô¸ô·~,-0.0799,-0.4674,0.5515,10444279307.0,1.27,2.931,-0.23,0.2455,31.62,-1.3803,0.0791,1
262,-0.0476,M2324 ¥b¾ÉÅé,-0.0508,0.2624,0.4642,49376860620.0,1.04,8.5717,-1.31,0.1376,38.61,-2.0378,-0.0473,1
263,0.0565,M2324 ¥b¾ÉÅé,-0.0172,0.6845,0.9245,17159329331.0,3.2,9.2751,3.03,0.0697,76.14,2.2406,0.1551,3
264,0.0488,M2324 ¥b¾ÉÅé,-0.1218,-0.3093,0.7733,16409275429.0,2.09,17.1405,-0.24,0.2113,36.89,-1.5084,0.2549,0
265,0.0203,M2324 ¥b¾ÉÅé,-0.0047,-0.5674,0.6075,4997187872.0,2.15,14.2144,-0.24,0.441,30.07,0.7886,-0.1254,0
266,-0.0446,M2324 ¥b¾ÉÅé,-0.0323,-0.0867,0.9579,113940004887.0,1.25,5.6626,-0.02,0.0739,46.82,0.5408,0.009,0
267,0.1464,M2327 ³q«Hºô¸ô·~,-0.1289,-0.1089,1.0409,258279201282.0,8.56,13.7035,3.72,0.2113,53.37,0.1013,0.4132,1
268,-0.0428,M2329 ¹q¤l³q¸ô·~,0.1849,0.1047,0.2631,139142971580.0,1.87,1.3386,1.27,0.1163,65.37,0.2687,0.0281,3
269,0.215,M9900 ¨ä¥L,0.9335,2.5744,0.5257,26410349214.0,1.87,11.5942,3.24,0.1625,69.76,29.227,0.1657,1
270,0.1818,M2326 ¥ú¹q·~,-0.0316,0.4365,0.5156,5313586219.0,0.98,2.8224,0.6,0.2233,45.84,1.1629,-0.0079,1
271,0.1732,M2324 ¥b¾ÉÅé,0.133,1.4148,1.0367,20488483045.0,2.52,8.593,1.54,0.0828,40.27,-0.2579,-0.0397,0
272,-0.0381,M2325 ¹q¸£¤Î¶gÃä,-0.1754,-0.5282,0.4035,73250694192.0,2.41,1.5614,0.38,0.1521,67.57,-0.207,-0.043,3
273,0.0184,M2325 ¹q¸£¤Î¶gÃä,0.0446,-0.0529,0.7348,141715754655.0,1.93,2.409,0.68,0.2042,63.71,1.3342,0.1664,3
274,0.1337,M2331 ¨ä¥L¹q¤l·~,0.2166,-0.3428,0.7576,83199170302.0,0.85,9.4116,0.66,0.2382,20.44,0.1102,-0.0591,1
275,0.0317,M2328 ¹q¤l¹s²Õ¥ó,-0.0716,-0.5997,0.5931,16796685716.0,1.11,4.0952,1.49,0.1584,27.95,6.7075,0.0361,0
276,0.0073,M2325 ¹q¸£¤Î¶gÃä,-0.0603,-0.4573,0.9073,190372234357.0,3.58,1.4587,0.82,0.1563,76.57,0.2369,0.0929,3
277,-0.0228,M2325 ¹q¸£¤Î¶gÃä,0.0733,0.0502,0.6205,357061504426.0,1.23,2.9339,1.29,0.1437,44.27,4.2382,0.0807,3
278,0.3038,M2331 ¨ä¥L¹q¤l·~,2.4861,1.0093,1.1709,21295195713.0,2.43,26.9368,0.48,0.1917,40.35,-0.0536,0.0716,1
279,0.1533,M2331 ¨ä¥L¹q¤l·~,0.2131,-0.601,1.1278,104159921991.0,5.32,23.5759,2.89,0.1361,39.68,0.0194,0.0617,1
280,-0.0773,M2325 ¹q¸£¤Î¶gÃä,0.3615,0.5426,0.8665,35608293444.0,0.6,6.4417,1.04,0.0542,56.93,1.2992,0.0592,3
281,-0.0352,M2324 ¥b¾ÉÅé,0.3547,3.4269,0.5327,43863138136.0,1.51,1279.0697,-0.43,0.145,0.65,0.1767,-0.0082,1
282,-0.007,M2325 ¹q¸£¤Î¶gÃä,-0.1657,-0.6048,0.8796,2637850030.0,5.82,10.4608,2.31,0.2701,66.22,0.5081,0.1161,3
283,0.3758,M2325 ¹q¸£¤Î¶gÃä,0.0161,-0.5178,0.8737,4883950140.0,1.51,21.8374,1.02,0.2371,15.45,0.8737,0.0543,3
284,0.0141,M2328 ¹q¤l¹s²Õ¥ó,0.8421,0.0626,1.4904,24540735227.0,1.73,5.8945,1.45,0.0384,55.08,1.6973,-0.008,0
285,-0.0702,M2328 ¹q¤l¹s²Õ¥ó,-0.2839,-0.2598,0.9697,94480303185.0,7.25,10.4728,3.67,0.2391,52.45,1.8289,0.2381,0
286,0.0254,M2324 ¥b¾ÉÅé,-0.1644,-0.8399,0.7809,7998151533.0,1.69,5.9036,-0.54,0.1405,27.98,0.0104,-0.0906,1
287,-0.0479,M1500 ¹q¾÷¾÷±ñ,0.2916,1.5996,0.1524,139904293763.0,2.46,12.9297,0.57,0.0908,53.81,0.4151,0.0363,3
288,-0.0013,M2331 ¨ä¥L¹q¤l·~,0.0041,-0.3064,0.1147,16615359065.0,2.59,6.169,1.19,0.1306,55.59,-0.0496,-0.0169,1
289,0.0247,M2326 ¥ú¹q·~,1.1245,8.0283,0.7842,14569636850.0,1.15,11.5652,1.64,0.2836,24.85,3.2912,0.0817,1
290,0.0843,M2328 ¹q¤l¹s²Õ¥ó,0.0249,0.6595,0.6885,7068091578.0,0.73,6.063,0.64,0.0945,38.21,5.7666,-0.1937,0
291,0.0,M2325 ¹q¸£¤Î¶gÃä,-0.1606,-0.4387,0.8507,203287696812.0,5.06,3.6859,2.2,0.1569,63.75,0.975,0.6793,3
292,0.0497,M2325 ¹q¸£¤Î¶gÃä,-0.1244,-0.2414,1.0773,138374941524.0,2.96,2.9054,2.69,0.2147,49.06,0.0112,0.0135,3
293,0.0596,M2324 ¥b¾ÉÅé,0.1322,-0.4167,0.9313,264053897360.0,6.04,10.3054,3.26,0.1017,52.4,0.745,-0.0709,0
294,0.107,M2325 ¹q¸£¤Î¶gÃä,0.0134,-0.4738,0.1575,1475151771.0,1.73,1.8357,0.34,0.1695,66.62,1.0645,-0.0348,3
295,0.0,M2325 ¹q¸£¤Î¶gÃä,0.1121,-0.0752,1.3164,1108574072984.0,6.72,4.2812,1.88,0.273,76.2,0.8641,0.0561,3
296,0.0794,M2328 ¹q¤l¹s²Õ¥ó,-0.2284,-0.1353,0.8323,142567289229.0,5.35,11.0496,3.65,0.213,56.2,3.124,0.2821,0
297,-0.0052,M2328 ¹q¤l¹s²Õ¥ó,0.1672,-0.58,0.9813,140062902557.0,4.58,6.1308,2.24,0.2599,54.49,0.1989,0.1467,0
298,-0.0444,M2325 ¹q¸£¤Î¶gÃä,0.0471,-0.5637,0.449,11552887537.0,1.26,2.3166,1.23,0.2159,45.76,6.691,0.0044,3
299,0.0,M2324 ¥b¾ÉÅé,-0.1654,-0.0245,1.0369,62999090894.0,4.52,29.1314,0.47,0.4492,36.61,1.9309,-0.0566,0
300,0.0383,M2331 ¨ä¥L¹q¤l·~,-0.113,-0.4888,0.724,2494421774.0,1.04,15.9042,-4.45,0.1688,13.98,-0.5383,-0.0484,1
301,0.5181,M2328 ¹q¤l¹s²Õ¥ó,0.2042,0.4822,0.8893,25803653729.0,0.99,1.3594,0.63,0.158,64.42,1.6031,0.1909,0
302,0.0774,M2326 ¥ú¹q·~,0.423,1.3713,0.8094,29679136962.0,1.22,6.0241,2.85,0.2104,27.83,0.6076,0.0676,1
